VETERINARIA PETSAIUD - SISTEMA DE GESTIÓN VETERINARIA
REPORTE: DE ÓRDENES VETERINARIAS
Fecha de Generación: 24/11/2025 17:39:28
Período del Reporte: 24/10/2025 a 24/11/2025
ID del Reporte: RPT_ORDENES_20251124173928

RESUMEN EJECUTIVO
Campo,Valor
INFORMACIÓN,%PDF-1.4
Título,Reporte de Ordenes - Petsalud
INFORMACIÓN,REPORTE DE ÓRDENES VETERINARIAS
Período,24/10/2025 - 24/11/2025
Total de órdenes,2

DETALLE DE ÓRDENES - VISIÓN COMPLETA
ID Orden,Fecha,Tipo Examen,Estado,Mascota,Dueño,Telefono,Veterinario,Tiene Resultado,Estado Resultado
2,24/11/2025 12:05,SANGRE,VALIDADA,N/A (Perro),Alexander Huamani,N/A,Carlos Garcia Lopez - N/A,No,N/A
1,24/11/2025 11:15,SANGRE,EN_PROCESO,N/A (Perro),Alexander Huamani,N/A,Maria Rodriguez Paz - N/A,No,N/A

METADATOS DEL SISTEMA
Campo,Valor
Sistema Generador,PetSalud v4.0
Fecha Exportación,24/11/2025 17:39:28
Formato,CSV Estructurado
Codificación,UTF-8
